■ sigunguName ; 충청남도 홍성군, sigunguCode : 44800, urlCon : OK, 200, line : 13753
■ sigunguName ; 충청남도 예산군, sigunguCode : 44810, urlCon : OK, 200, line : 7323
■ sigunguName ; 충청남도 태안군, sigunguCode : 44825, urlCon : OK, 200, line : 4788
■ sigunguName ; 전라북도, sigunguCode : 45000, urlCon : OK, 200, line : 248
■ sigunguName ; 전라북도 전주시, sigunguCode : 45110, urlCon : OK, 200, line : 248
■ sigunguName ; 전라북도 전주시 완산구, sigunguCode : 45111, urlCon : OK, 200, line : 70375
■ sigunguName ; 전라북도 전주시 덕진구, sigunguCode : 45113, urlCon : OK, 200, line : 66520
■ sigunguName ; 전라북도 군산시, sigunguCode : 45130, urlCon : OK, 200, line : 40895
■ sigunguName ; 전라북도 익산시, sigunguCode : 45140, urlCon : OK, 200, line : 53509
■ sigunguName ; 전라북도 정읍시, sigunguCode : 45180, urlCon : OK, 200, line : 11468
■ sigunguName ; 전라북도 남원시, sigunguCode : 45190, urlCon : OK, 200, line : 5902
■ sigunguName ; 전라북도 김제시, sigunguCode : 45210, urlCon : OK, 200, line : 9851
■ sigunguName ; 전라북도 완주군, sigunguCode : 45710, urlCon : OK, 200, line : 13206
■ sigunguName ; 전라북도 진안군, sigunguCode : 45720, urlCon : OK, 200, line : 1307
■ sigunguName ; 전라북도 무주군, sigunguCode : 45730, urlCon : OK, 200, line : 1321
■ sigunguName ; 전라북도 장수군, sigunguCode : 45740, urlCon : OK, 200, line : 434
■ sigunguName ; 전라북도 임실군, sigunguCode : 45750, urlCon : OK, 200, line : 1155
■ sigunguName ; 전라북도 순창군, sigunguCode : 45770, urlCon : OK, 200, line : 776
■ sigunguName ; 전라북도 고창군, sigunguCode : 45790, urlCon : OK, 200, line : 3579
■ sigunguName ; 전라북도 부안군, sigunguCode : 45800, urlCon : OK, 200, line : 4982
■ sigunguName ; 전라남도, sigunguCode : 46000, urlCon : OK, 200, line : 248
■ sigunguName ; 전라남도 목포시, sigunguCode : 46110, urlCon : OK, 200, line : 44443
■ sigunguName ; 전라남도 여수시, sigunguCode : 46130, urlCon : OK, 200, line : 49743
■ sigunguName ; 전라남도 순천시, sigunguCode : 46150, urlCon : OK, 200, line : 62619
■ sigunguName ; 전라남도 나주시, sigunguCode : 46170, urlCon : OK, 200, line : 10586
■ sigunguName ; 전라남도 광양시, sigunguCode : 46230, urlCon : OK, 200, line : 52289
■ sigunguName ; 전라남도 담양군, sigunguCode : 46710, urlCon : OK, 200, line : 778
■ sigunguName ; 전라남도 곡성군, sigunguCode : 46720, urlCon : OK, 200, line : 612
■ sigunguName ; 전라남도 구례군, sigunguCode : 46730, urlCon : OK, 200, line : 783
■ sigunguName ; 전라남도 고흥군, sigunguCode : 46770, urlCon : OK, 200, line : 3250
■ sigunguName ; 전라남도 보성군, sigunguCode : 46780, urlCon : OK, 200, line : 2534
■ sigunguName ; 전라남도 화순군, sigunguCode : 46790, urlCon : OK, 200, line : 7042
■ sigunguName ; 전라남도 장흥군, sigunguCode : 46800, urlCon : OK, 200, line : 1647
■ sigunguName ; 전라남도 강진군, sigunguCode : 46810, urlCon : OK, 200, line : 1128
■ sigunguName ; 전라남도 해남군, sigunguCode : 46820, urlCon : OK, 200, line : 4282
■ sigunguName ; 전라남도 영암군, sigunguCode : 46830, urlCon : OK, 200, line : 7787
■ sigunguName ; 전라남도 무안군, sigunguCode : 46840, urlCon : OK, 200, line : 7011
■ sigunguName ; 전라남도 함평군, sigunguCode : 46860, urlCon : OK, 200, line : 780
■ sigunguName ; 전라남도 영광군, sigunguCode : 46870, urlCon : OK, 200, line : 4875
■ sigunguName ; 전라남도 장성군, sigunguCode : 46880, urlCon : OK, 200, line : 2162
■ sigunguName ; 전라남도 완도군, sigunguCode : 46890, urlCon : OK, 200, line : 1656
■ sigunguName ; 전라남도 진도군, sigunguCode : 46900, urlCon : OK, 200, line : 429
